Gene	Species	Protein accession	Protein length	Number of significant Pfam domains	Number of LRR-related domains	Detected domain families	Domain quality	Raw domain status
BGN	whale_shark	XP_048463588.1	350	6	6	LRRNT,LRR_14,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	zebrafish	NP_001001825.2	374	8	8	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	anolis_carolinensis	XP_003221176.1	317	6	6	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
EPYC	bos_taurus	XP_010803061.1	321	5	5	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	callorhinchus_milii	XP_007893502.1	325	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	canis_lupus_familiaris	XP_038414560.1	320	5	5	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	chicken	XP_025003921.1	332	4	4	LRRNT,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	frog	XP_031753666.1	318	6	6	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
EPYC	human	NP_004941.2	322	5	5	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	latimeria_chalumnae	XP_006009490.1	330	3	3	LRRNT,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	lepisosteus_oculatus	XP_006633678.1	325	6	6	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
EPYC	monodelphis_domestica	XP_056654622.1	318	6	6	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
EPYC	mouse	NP_031910.1	322	6	6	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	rattus_norvegicus	NP_001101558.1	359	6	6	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	scyliorhinus_canicula	XP_038636412.1	326	2	2	LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	whale_shark	XP_048463897.1	292	2	2	LRR_8	Good SLRP-like domain architecture	SLRP_like
EPYC	zebrafish	XP_021330689.1	321	5	5	LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
FMOD	anolis_carolinensis	XP_008107883.2	422	9	9	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
FMOD	bos_taurus	XP_059731202.1	376	8	8	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	canis_lupus_familiaris	XP_038441871.1	376	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	chicken	NP_990298.2	380	9	9	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
FMOD	frog	XP_017947022.1	357	9	9	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	human	XP_047272260.1	376	7	7	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	lamprey	XP_075930353.1	359	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	latimeria_chalumnae	XP_006002318.1	351	10	10	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	lepisosteus_oculatus	XP_006628521.2	353	10	10	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	monodelphis_domestica	XP_001364906.1	374	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	mouse	NP_067330.1	376	7	7	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	rattus_norvegicus	NP_542429.1	376	7	7	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	scyliorhinus_canicula	XP_038675394.1	355	7	7	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	whale_shark	XP_048468126.1	355	9	9	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
FMOD	zebrafish	XP_073767056.1	362	9	9	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
OGN	amphioxus	XP_066265713.1	381	12	12	LRRNT,LRR_14,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
OGN	anolis_carolinensis	XP_008103381.1	302	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	bos_taurus	NP_776371.1	299	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	callorhinchus_milii	XP_007907071.1	298	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	canis_lupus_familiaris	XP_038383338.1	361	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	chicken	NP_989540.1	294	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	frog	XP_002934273.1	294	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	human	NP_148935.1	298	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	latimeria_chalumnae	XP_005987116.1	304	2	2	LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	lepisosteus_oculatus	XP_006631165.2	295	2	2	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	monodelphis_domestica	XP_056660002.1	288	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	mouse	NP_032786.1	298	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	scyliorhinus_canicula	XP_038668531.1	303	4	4	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	whale_shark	XP_020377273.1	309	3	3	LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
OGN	zebrafish	NP_001013588.1	292	1	1	LRR_8	Needs inspection	check
PRELP	anolis_carolinensis	XP_008107880.1	369	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	bos_taurus	XP_005216708.2	381	8	8	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	callorhinchus_milii	XP_042198145.1	378	8	8	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	canis_lupus_familiaris	XP_038441873.1	379	8	8	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	chicken	XP_046760117.1	396	7	7	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	frog	NP_001096208.1	374	9	9	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
PRELP	human	NP_958505.1	382	7	7	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	lamprey	XP_032810295.2	367	3	3	LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	latimeria_chalumnae	XP_006002320.1	374	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	lepisosteus_oculatus	XP_015198331.2	367	6	6	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
PRELP	monodelphis_domestica	XP_056671733.1	384	7	7	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	mouse	XP_006529147.1	378	8	8	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	rattus_norvegicus	XP_008767794.1	377	7	7	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	scyliorhinus_canicula	XP_038675391.1	393	7	7	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	whale_shark	XP_048468210.1	393	5	5	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
PRELP	zebrafish	XP_001923590.2	378	7	7	LRRNT,LRR_14,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
