Gene	Species	Protein accession	Protein length	Gap percentage	MSA quality	Number of LRR-related domains	Domain quality	Detected domain families
OGN	anolis_carolinensis	XP_008103381.1	302	45.09	Needs inspection	4	Good SLRP-like domain architecture	LRR_4,LRR_8
OGN	frog	XP_002934273.1	294	46.55	Needs inspection	3	Good SLRP-like domain architecture	LRR_4,LRR_8
OGN	zebrafish	NP_001013588.1	292	46.91	Needs inspection	1	Needs inspection	LRR_8
OGN	lepisosteus_oculatus	XP_006631165.2	295	46.36	Needs inspection	2	Good SLRP-like domain architecture	LRR_4,LRR_8
OGN	latimeria_chalumnae	XP_005987116.1	304	44.73	Needs inspection	2	Good SLRP-like domain architecture	LRR_8
OGN	callorhinchus_milii	XP_007907071.1	298	45.82	Needs inspection	3	Good SLRP-like domain architecture	LRR_4,LRR_8
OGN	scyliorhinus_canicula	XP_038668531.1	303	44.91	Needs inspection	4	Good SLRP-like domain architecture	LRR_4,LRR_8
OGN	amphioxus	XP_066265713.1	381	30.73	Watch	12	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_5,LRR_8,LRR_9
OGN	whale_shark	XP_020377273.1	309	43.82	Needs inspection	3	Good SLRP-like domain architecture	LRR_4,LRR_8
PRELP	human	NP_958505.1	382	12.18	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	mouse	XP_006529147.1	378	13.1	Good	8	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_8
PRELP	rattus_norvegicus	XP_008767794.1	377	13.33	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	canis_lupus_familiaris	XP_038441873.1	379	12.87	Good	8	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_8
PRELP	bos_taurus	XP_005216708.2	381	12.41	Good	8	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	monodelphis_domestica	XP_056671733.1	384	11.72	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_8
PRELP	chicken	XP_046760117.1	396	8.97	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	anolis_carolinensis	XP_008107880.1	369	15.17	Good	6	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	frog	NP_001096208.1	374	14.02	Good	9	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_5,LRR_8,LRR_9
PRELP	zebrafish	XP_001923590.2	378	13.1	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_8
PRELP	lepisosteus_oculatus	XP_015198331.2	367	15.63	Good	6	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8,LRR_9
PRELP	latimeria_chalumnae	XP_006002320.1	374	14.02	Good	6	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	callorhinchus_milii	XP_042198145.1	378	13.1	Good	8	Good SLRP-like domain architecture	LRRNT,LRR_14,LRR_4,LRR_8
PRELP	scyliorhinus_canicula	XP_038675391.1	393	9.66	Good	7	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
PRELP	lamprey	XP_032810295.2	367	15.63	Good	3	Good SLRP-like domain architecture	LRR_8
PRELP	whale_shark	XP_048468210.1	393	9.66	Good	5	Good SLRP-like domain architecture	LRRNT,LRR_4,LRR_8
