identifier,gene,SLRP_class,analysis_group,old_header
FMOD_004,FMOD,SLRP_class_II,SLRP_candidate,canis_lupus_familiaris|FMOD|XP_038441871.1 forward_pident=94.15 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_005,FMOD,SLRP_class_II,SLRP_candidate,bos_taurus|FMOD|XP_059731202.1 forward_pident=92.29 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_006,FMOD,SLRP_class_II,SLRP_candidate,monodelphis_domestica|FMOD|XP_001364906.1 forward_pident=88.83 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_007,FMOD,SLRP_class_II,SLRP_candidate,chicken|FMOD|NP_990298.2 forward_pident=68.33 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_008,FMOD,SLRP_class_II,SLRP_candidate,anolis_carolinensis|FMOD|XP_008107883.2 forward_pident=67.53 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_009,FMOD,SLRP_class_II,SLRP_candidate,frog|FMOD|XP_017947022.1 forward_pident=60.74 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_010,FMOD,SLRP_class_II,SLRP_candidate,zebrafish|FMOD|XP_073767056.1 forward_pident=50.93 forward_qcovs=99.0 reverse_hit=XP_047272260.1
FMOD_011,FMOD,SLRP_class_II,SLRP_candidate,lepisosteus_oculatus|FMOD|XP_006628521.2 forward_pident=55.04 forward_qcovs=98.0 reverse_hit=XP_047272260.1
FMOD_012,FMOD,SLRP_class_II,SLRP_candidate,latimeria_chalumnae|FMOD|XP_006002318.1 forward_pident=59.84 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_013,FMOD,SLRP_class_II,SLRP_candidate,scyliorhinus_canicula|FMOD|XP_038675394.1 forward_pident=51.33 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_014,FMOD,SLRP_class_II,SLRP_candidate,lamprey|FMOD|XP_075930353.1 forward_pident=49.41 forward_qcovs=90.0 reverse_hit=NP_002336.1
FMOD_015,FMOD,SLRP_class_II,SLRP_candidate,whale_shark|FMOD|XP_048468126.1 forward_pident=50.27 forward_qcovs=100.0 reverse_hit=XP_047272260.1
OGN_001,OGN,SLRP_class_III,SLRP_candidate,human|OGN|NP_148935.1 forward_pident=100.00 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_002,OGN,SLRP_class_III,SLRP_candidate,mouse|OGN|NP_032786.1 forward_pident=85.23 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_003,OGN,SLRP_class_III,SLRP_candidate,canis_lupus_familiaris|OGN|XP_038383338.1 forward_pident=90.60 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_004,OGN,SLRP_class_III,SLRP_candidate,bos_taurus|OGN|NP_776371.1 forward_pident=92.62 forward_qcovs=99.0 reverse_hit=NP_148935.1
OGN_005,OGN,SLRP_class_III,SLRP_candidate,monodelphis_domestica|OGN|XP_056660002.1 forward_pident=68.12 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_006,OGN,SLRP_class_III,SLRP_candidate,chicken|OGN|NP_989540.1 forward_pident=63.70 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_007,OGN,SLRP_class_III,SLRP_candidate,anolis_carolinensis|OGN|XP_008103381.1 forward_pident=60.73 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_008,OGN,SLRP_class_III,SLRP_candidate,frog|OGN|XP_002934273.1 forward_pident=70.56 forward_qcovs=72.0 reverse_hit=NP_148935.1
OGN_009,OGN,SLRP_class_III,SLRP_candidate,zebrafish|OGN|NP_001013588.1 forward_pident=67.12 forward_qcovs=73.0 reverse_hit=NP_148935.1
OGN_010,OGN,SLRP_class_III,SLRP_candidate,lepisosteus_oculatus|OGN|XP_006631165.2 forward_pident=69.86 forward_qcovs=73.0 reverse_hit=NP_148935.1
OGN_011,OGN,SLRP_class_III,SLRP_candidate,latimeria_chalumnae|OGN|XP_005987116.1 forward_pident=57.00 forward_qcovs=99.0 reverse_hit=NP_148935.1
OGN_012,OGN,SLRP_class_III,SLRP_candidate,callorhinchus_milii|OGN|XP_007907071.1 forward_pident=51.16 forward_qcovs=99.0 reverse_hit=NP_148935.1
OGN_013,OGN,SLRP_class_III,SLRP_candidate,scyliorhinus_canicula|OGN|XP_038668531.1 forward_pident=49.83 forward_qcovs=100.0 reverse_hit=NP_148935.1
OGN_014,OGN,SLRP_class_III,SLRP_candidate,amphioxus|OGN|XP_066265713.1 forward_pident=31.75 forward_qcovs=60.0 reverse_hit=XP_047291129.1
OGN_015,OGN,SLRP_class_III,SLRP_candidate,whale_shark|OGN|XP_020377273.1 forward_pident=50.97 forward_qcovs=100.0 reverse_hit=NP_148935.1
PRELP_001,PRELP,SLRP_class_II,SLRP_candidate,human|PRELP|NP_958505.1 forward_pident=100.00 forward_qcovs=100.0 reverse_hit=NP_958505.1
PRELP_002,PRELP,SLRP_class_II,SLRP_candidate,mouse|PRELP|XP_006529147.1 forward_pident=89.03 forward_qcovs=100.0 reverse_hit=NP_958505.1
PRELP_003,PRELP,SLRP_class_II,SLRP_candidate,rattus_norvegicus|PRELP|XP_008767794.1 forward_pident=89.30 forward_qcovs=100.0 reverse_hit=NP_958505.1
PRELP_004,PRELP,SLRP_class_II,SLRP_candidate,canis_lupus_familiaris|PRELP|XP_038441873.1 forward_pident=94.29 forward_qcovs=82.0 reverse_hit=NP_958505.1
PRELP_005,PRELP,SLRP_class_II,SLRP_candidate,bos_taurus|PRELP|XP_005216708.2 forward_pident=92.90 forward_qcovs=88.0 reverse_hit=NP_958505.1
PRELP_006,PRELP,SLRP_class_II,SLRP_candidate,monodelphis_domestica|PRELP|XP_056671733.1 forward_pident=87.65 forward_qcovs=87.0 reverse_hit=NP_958505.1
PRELP_007,PRELP,SLRP_class_II,SLRP_candidate,chicken|PRELP|XP_046760117.1 forward_pident=79.11 forward_qcovs=82.0 reverse_hit=NP_958505.1
PRELP_008,PRELP,SLRP_class_II,SLRP_candidate,anolis_carolinensis|PRELP|XP_008107880.1 forward_pident=75.00 forward_qcovs=88.0 reverse_hit=NP_958505.1
PRELP_009,PRELP,SLRP_class_II,SLRP_candidate,frog|PRELP|NP_001096208.1 forward_pident=68.08 forward_qcovs=92.0 reverse_hit=NP_958505.1
PRELP_010,PRELP,SLRP_class_II,SLRP_candidate,zebrafish|PRELP|XP_001923590.2 forward_pident=58.01 forward_qcovs=99.0 reverse_hit=NP_958505.1
PRELP_011,PRELP,SLRP_class_II,SLRP_candidate,lepisosteus_oculatus|PRELP|XP_015198331.2 forward_pident=68.06 forward_qcovs=87.0 reverse_hit=NP_958505.1
PRELP_012,PRELP,SLRP_class_II,SLRP_candidate,latimeria_chalumnae|PRELP|XP_006002320.1 forward_pident=70.42 forward_qcovs=81.0 reverse_hit=NP_958505.1
PRELP_013,PRELP,SLRP_class_II,SLRP_candidate,callorhinchus_milii|PRELP|XP_042198145.1 forward_pident=60.53 forward_qcovs=99.0 reverse_hit=NP_958505.1
PRELP_014,PRELP,SLRP_class_II,SLRP_candidate,scyliorhinus_canicula|PRELP|XP_038675391.1 forward_pident=64.50 forward_qcovs=87.0 reverse_hit=NP_958505.1
PRELP_015,PRELP,SLRP_class_II,SLRP_candidate,lamprey|PRELP|XP_032810295.2 forward_pident=46.04 forward_qcovs=89.0 reverse_hit=NP_008966.1
PRELP_016,PRELP,SLRP_class_II,SLRP_candidate,whale_shark|PRELP|XP_048468210.1 forward_pident=62.83 forward_qcovs=88.0 reverse_hit=NP_958505.1
COL2A1_001,COL2A1,non_SLRP_control,cartilage_non_SLRP_control,sp|P02458|CO2A1_HUMAN Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3
ACAN_001,ACAN,non_SLRP_control,cartilage_non_SLRP_control,sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3
COMP_001,COMP,non_SLRP_control,cartilage_non_SLRP_control,sp|P49747|COMP_HUMAN Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2
MATN1_001,MATN1,non_SLRP_control,cartilage_non_SLRP_control,sp|P21941|MATN1_HUMAN Matrilin-1 OS=Homo sapiens OX=9606 GN=MATN1 PE=1 SV=1
